PIN,BANK,XC3S1400AFT256,TYPE,DIFF_PAIR,ROW,COL
A1,GND,GND,GND,,A,1
A2,VCCAUX,PROG_B,CONFIG,,A,2
A3,0,IO_L19P_0,I/O,TRUE,A,3
A4,0,IO_L18P_0,I/O,TRUE,A,4
A5,0,IO_L17P_0,I/O,TRUE,A,5
A6,0,IO_L15P_0,I/O,TRUE,A,6
A7,0,IO_L13P_0,I/O,TRUE,A,7
A8,0,IO_L12P_0/GCLK10,GCLK,TRUE,A,8
A9,0,IO_L10N_0/GCLK7,GCLK,TRUE,A,9
A10,0,IO_L08N_0,I/O,TRUE,A,10
A11,0,IO_L07N_0,I/O,TRUE,A,11
A12,0,IO_L05N_0,I/O,TRUE,A,12
A13,0,IO_L04N_0,I/O,TRUE,A,13
A14,0,IO_L04P_0,I/O,TRUE,A,14
A15,0,TCK,JTAG,,A,15
A16,GND,GND,GND,,A,16
B1,3,TDI,JTAG,,B,1
B2,3,TMS,JTAG,,B,2
B3,0,IO_L19N_0,I/O,TRUE,B,3
B4,0,IO_L18N_0,I/O,TRUE,B,4
B5,0,VCCO_0,VCCO,,B,5
B6,0,IO_L15N_0,I/O,TRUE,B,6
B7,GND,GND,GND,,B,7
B8,0,IO_L12N_0/GCLK11,GCLK,TRUE,B,8
B9,0,VCCO_0,VCCO,,B,9
B10,0,IO_L08P_0,I/O,TRUE,B,10
B11,GND,GND,GND,,B,11
B12,0,IO_L05P_0,I/O,TRUE,B,12
B13,0,VCCO_0,VCCO,,B,13
B14,0,IO_L02N_0,I/O,TRUE,B,14
B15,0,IO_L02P_0/VREF_0,VREF,TRUE,B,15
B16,1,TDO,JTAG,,B,16
C1,3,IO_L01N_3,I/O,TRUE,C,1
C2,3,IO_L01P_3,I/O,TRUE,C,2
C3,GND,GND,GND,,C,3
C4,0,IO_L20P_0/VREF_0,VREF,TRUE,C,4
C5,0,IO_L17N_0,I/O,TRUE,C,5
C6,0,IO_L16N_0,I/O,TRUE,C,6
C7,0,IO_L13N_0,I/O,TRUE,C,7
C8,0,IO_L11P_0/GCLK8,GCLK,TRUE,C,8
C9,0,IO_L10P_0/GCLK6,GCLK,TRUE,C,9
C10,0,IO_L09P_0/GCLK4,GCLK,TRUE,C,10
C11,0,IO_L07P_0,I/O,TRUE,C,11
C12,0,IO_L03P_0,I/O,TRUE,C,12
C13,0,IO_L01N_0,I/O,TRUE,C,13
C14,GND,GND,GND,,C,14
C15,1,IO_L24N_1/A25,DUAL,TRUE,C,15
C16,1,IO_L24P_1/A24,DUAL,TRUE,C,16
D1,3,IO_L03P_3,I/O,TRUE,D,1
D2,3,VCCO_3,VCCO,,D,2
D3,3,IO_L02N_3,I/O,TRUE,D,3
D4,3,IO_L02P_3,I/O,TRUE,D,4
D5,0,IO_L20N_0/PUDC_B,DUAL,TRUE,D,5
D6,VCCAUX,VCCAUX,VCCAUX,,D,6
D7,0,IO_L16P_0,I/O,TRUE,D,7
D8,0,IO_L11N_0/GCLK9,GCLK,TRUE,D,8
D9,0,IO_L09N_0/GCLK5,GCLK,TRUE,D,9
D10,0,IO_L06N_0/VREF_0,VREF,TRUE,D,10
D11,0,IO_L06P_0,I/O,TRUE,D,11
D12,0,IO_L03N_0,I/O,TRUE,D,12
D13,0,IO_L01P_0,I/O,TRUE,D,13
D14,1,IO_L23N_1/A23,DUAL,TRUE,D,14
D15,1,IO_L22N_1/A21,DUAL,TRUE,D,15
D16,1,IO_L22P_1/A20,DUAL,TRUE,D,16
E1,3,IO_L03N_3,I/O,TRUE,E,1
E2,3,IO_L05N_3,I/O,TRUE,E,2
E3,3,IO_L05P_3,I/O,TRUE,E,3
E4,3,IO_L04P_3,I/O,TRUE,E,4
E5,GND,GND,GND,,E,5
E6,0,IP_0,INPUT,,E,6
E7,0,IO_L14N_0/VREF_0,VREF,TRUE,E,7
E8,0,VCCO_0,VCCO,,E,8
E9,0,IO_L14P_0,I/O,TRUE,E,9
E10,GND,GND,GND,,E,10
E11,VCCAUX,VCCAUX,VCCAUX,,E,11
E12,GND,GND,GND,,E,12
E13,1,IO_L23P_1/A22,DUAL,TRUE,E,13
E14,1,IO_L20P_1/A18,DUAL,TRUE,E,14
E15,1,VCCO_1,VCCO,,E,15
E16,1,IO_L18P_1/A14,DUAL,TRUE,E,16
F1,3,IO_L08P_3,I/O,TRUE,F,1
F2,GND,GND,GND,,F,2
F3,3,IO_L07P_3,I/O,TRUE,F,3
F4,3,IO_L04N_3,I/O,TRUE,F,4
F5,VCCAUX,VCCAUX,VCCAUX,,F,5
F6,GND,GND,GND,,F,6
F7,GND,GND,GND,,F,7
F8,GND,GND,GND,,F,8
F9,GND,GND,GND,,F,9
F10,VCCINT,VCCINT,VCCINT,,F,10
F11,GND,GND,GND,,F,11
F12,VCCAUX,VCCAUX,VCCAUX,,F,12
F13,1,IO_L20N_1/A19,DUAL,TRUE,F,13
F14,1,IO_L19N_1/A17,DUAL,TRUE,F,14
F15,1,IO_L18N_1/A15,DUAL,TRUE,F,15
F16,1,IO_L16N_1/A11,DUAL,TRUE,F,16
G1,3,IO_L08N_3/VREF_3,VREF,TRUE,G,1
G2,3,IO_L11P_3/LHCLK0,LHCLK,TRUE,G,2
G3,3,IO_L07N_3,I/O,TRUE,G,3
G4,3,IP_3/VREF_3,VREF,,G,4
G5,GND,GND,GND,,G,5
G6,GND,GND,GND,,G,6
G7,VCCINT,VCCINT,VCCINT,,G,7
G8,GND,GND,GND,,G,8
G9,VCCINT,VCCINT,VCCINT,,G,9
G10,GND,GND,GND,,G,10
G11,VCCINT,VCCINT,VCCINT,,G,11
G12,GND,GND,GND,,G,12
G13,1,IO_L19P_1/A16,DUAL,TRUE,G,13
G14,1,IO_L17N_1/A13,DUAL,TRUE,G,14
G15,GND,GND,GND,,G,15
G16,1,IO_L16P_1/A10,DUAL,TRUE,G,16
H1,3,IO_L11N_3/LHCLK1,LHCLK,TRUE,H,1
H2,3,VCCO_3,VCCO,,H,2
H3,3,IO_L12P_3/LHCLK2,LHCLK,TRUE,H,3
H4,VCCAUX,VCCAUX,VCCAUX,,H,4
H5,GND,GND,GND,,H,5
H6,VCCINT,VCCINT,VCCINT,,H,6
H7,GND,GND,GND,,H,7
H8,VCCINT,VCCINT,VCCINT,,H,8
H9,GND,GND,GND,,H,9
H10,VCCINT,VCCINT,VCCINT,,H,10
H11,GND,GND,GND,,H,11
H12,1,IP_1/VREF_1,VREF,,H,12
H13,1,IO_L17P_1/A12,DUAL,TRUE,H,13
H14,VCCAUX,VCCAUX,VCCAUX,,H,14
H15,1,IO_L15P_1/IRDY1/RHCLK6,RHCLK,TRUE,H,15
H16,1,IO_L15N_1/RHCLK7,RHCLK,TRUE,H,16
J1,3,IO_L14N_3/LHCLK5,LHCLK,TRUE,J,1
J2,3,IO_L14P_3/LHCLK4,LHCLK,TRUE,J,2
J3,3,IO_L12N_3/IRDY2/LHCLK3,LHCLK,TRUE,J,3
J4,3,IP_3,INPUT,,J,4
J5,3,IP_3/VREF_3,VREF,,J,5
J6,GND,GND,GND,,J,6
J7,VCCINT,VCCINT,VCCINT,,J,7
J8,GND,GND,GND,,J,8
J9,VCCINT,VCCINT,VCCINT,,J,9
J10,GND,GND,GND,,J,10
J11,VCCINT,VCCINT,VCCINT,,J,11
J12,1,IO_L10P_1/A8,DUAL,TRUE,J,12
J13,1,IO_L10N_1/A9,DUAL,TRUE,J,13
J14,1,IP_1/VREF_1,VREF,,J,14
J15,1,VCCO_1,VCCO,,J,15
J16,1,IO_L12N_1/TRDY1/RHCLK3,RHCLK,TRUE,J,16
K1,3,IO_L15N_3/LHCLK7,LHCLK,TRUE,K,1
K2,GND,GND,GND,,K,2
K3,3,IO_L15P_3/TRDY2/LHCLK6,LHCLK,TRUE,K,3
K4,3,IO_L18P_3,I/O,TRUE,K,4
K5,GND,GND,GND,,K,5
K6,VCCINT,VCCINT,VCCINT,,K,6
K7,GND,GND,GND,,K,7
K8,VCCINT,VCCINT,VCCINT,,K,8
K9,GND,GND,GND,,K,9
K10,VCCINT,VCCINT,VCCINT,,K,10
K11,GND,GND,GND,,K,11
K12,GND,GND,GND,,K,12
K13,1,IO_L06N_1/A3,DUAL,TRUE,K,13
K14,1,IO_L11N_1/RHCLK1,RHCLK,TRUE,K,14
K15,1,IO_L11P_1/RHCLK0,RHCLK,TRUE,K,15
K16,1,IO_L12P_1/RHCLK2,RHCLK,TRUE,K,16
L1,3,IO_L16P_3/VREF_3,VREF,TRUE,L,1
L2,3,IO_L16N_3,I/O,TRUE,L,2
L3,3,IO_L18N_3,I/O,TRUE,L,3
L4,3,IO_L19N_3,I/O,TRUE,L,4
L5,VCCAUX,VCCAUX,VCCAUX,,L,5
L6,GND,GND,GND,,L,6
L7,VCCINT,VCCINT,VCCINT,,L,7
L8,GND,GND,GND,,L,8
L9,VCCINT,VCCINT,VCCINT,,L,9
L10,GND,GND,GND,,L,10
L11,GND,GND,GND,,L,11
L12,VCCAUX,VCCAUX,VCCAUX,,L,12
L13,1,IO_L06P_1/A2,DUAL,TRUE,L,13
