PIN,XC3SD1800ACS484_PIN,XC3SD1800ACS484_BANK,TYPE,DIFF_PAIR,ROW,ROW_#,COLUMN
A1,GND,GND,GND,,A,1,1
A2,PROG_B,VCCAUX,CONFIG,,A,1,2
A3,IO_L30N_0,0,I/O,TRUE,A,1,3
A4,IO_L28N_0,0,I/O,TRUE,A,1,4
A5,IO_L25N_0,0,I/O,TRUE,A,1,5
A6,IO_L25P_0,0,I/O,TRUE,A,1,6
A7,IO_L24N_0/VREF_0,0,VREF,TRUE,A,1,7
A8,IO_L20P_0/GCLK10,0,GCLK,TRUE,A,1,8
A9,IO_L18P_0/GCLK6,0,GCLK,TRUE,A,1,9
A10,IP_0,0,INPUT,,A,1,10
A11,IO_L15N_0,0,I/O,TRUE,A,1,11
A12,IP_0,0,INPUT,,A,1,12
A13,IO_L11P_0,0,I/O,TRUE,A,1,13
A14,IO_L10P_0,0,I/O,TRUE,A,1,14
A15,IP_0,0,INPUT,,A,1,15
A16,IO_L06P_0/VREF_0,0,VREF,TRUE,A,1,16
A17,IO_L06N_0,0,I/O,TRUE,A,1,17
A18,IP_0,0,INPUT,,A,1,18
A19,IO_L07N_0,0,I/O,TRUE,A,1,19
A20,IO_0,0,I/O,,A,1,20
A21,TCK,VCCAUX,JTAG,,A,1,21
A22,GND,GND,GND,,A,1,22
AA1,IP_L39N_3/VREF_3,3,VREF,TRUE,AA,21,1
AA2,VCCAUX,VCCAUX,VCCAUX,,AA,21,2
AA3,IO_L01P_2/M1,2,DUAL,TRUE,AA,21,3
AA4,IO_L04N_2,2,I/O,TRUE,AA,21,4
AA5,VCCO_2,2,VCCO,,AA,21,5
AA6,IP_2,2,INPUT,,AA,21,6
AA7,GND,GND,GND,,AA,21,7
AA8,IO_L08N_2,2,I/O,TRUE,AA,21,8
AA9,VCCO_2,2,VCCO,,AA,21,9
AA10,IO_L12N_2/D6,2,DUAL,TRUE,AA,21,10
AA11,GND,GND,GND,,AA,21,11
AA12,IO_L16P_2/GCLK14,2,GCLK,TRUE,AA,21,12
AA13,VCCO_2,2,VCCO,,AA,21,13
AA14,IO_L18N_2/GCLK2,2,GCLK,TRUE,AA,21,14
AA15,IO_L19P_2,2,I/O,TRUE,AA,21,15
AA16,GND,GND,GND,,AA,21,16
AA17,IO_L22P_2/AWAKE,2,PWRMGMT,TRUE,AA,21,17
AA18,VCCO_2,2,VCCO,,AA,21,18
AA19,IO_L27N_2,2,I/O,TRUE,AA,21,19
AA20,IO_L30P_2,2,I/O,TRUE,AA,21,20
AA21,VCCAUX,VCCAUX,VCCAUX,,AA,21,21
AA22,IO_L02N_1/LDC0,1,DUAL,TRUE,AA,21,22
AB1,GND,GND,GND,,AB,22,1
AB2,IP_2/VREF_2,2,VREF,,AB,22,2
AB3,IO_L01N_2/M0,2,DUAL,TRUE,AB,22,3
AB4,IO_L04P_2,2,I/O,TRUE,AB,22,4
AB5,IO_L05P_2,2,I/O,TRUE,AB,22,5
AB6,IO_L05N_2,2,I/O,TRUE,AB,22,6
AB7,IO_L08P_2,2,I/O,TRUE,AB,22,7
AB8,IO_L09P_2/VS1,2,DUAL,TRUE,AB,22,8
AB9,IO_L09N_2/VS0,2,DUAL,TRUE,AB,22,9
AB10,IO_L12P_2/D7,2,DUAL,TRUE,AB,22,10
AB11,IP_2/VREF_2,2,VREF,,AB,22,11
AB12,IO_L16N_2/GCLK15,2,GCLK,TRUE,AB,22,12
AB13,IO_L18P_2,2,GCLK,TRUE,AB,22,13
AB14,IO_L19N_2,2,I/O,TRUE,AB,22,14
AB15,IP_2,2,INPUT,,AB,22,15
AB16,IO_L22N_2/DOUT,2,DUAL,TRUE,AB,22,16
AB17,IO_L23P_2,2,I/O,TRUE,AB,22,17
AB18,IO_L23N_2,2,I/O,TRUE,AB,22,18
AB19,IO_L27P_2,2,I/O,TRUE,AB,22,19
AB20,IO_L30N_2,2,I/O,TRUE,AB,22,20
AB21,DONE,VCCAUX,CONFIG,,AB,22,21
AB22,GND,GND,GND,,AB,22,22
B1,TMS,VCCAUX,JTAG,,B,2,1
B2,VCCAUX,VCCAUX,VCCAUX,,B,2,2
B3,IO_L30P_0,0,I/O,TRUE,B,2,3
B4,IO_L28P_0,0,I/O,TRUE,B,2,4
B5,VCCO_0,0,VCCO,,B,2,5
B6,IO_L24P_0,0,I/O,TRUE,B,2,6
B7,GND,GND,GND,,B,2,7
B8,IO_L20N_0/GCLK11,0,GCLK,TRUE,B,2,8
B9,IO_L18N_0/GCLK7,0,GCLK,TRUE,B,2,9
B10,VCCO_0,0,VCCO,,B,2,10
B11,IO_L15P_0,0,I/O,TRUE,B,2,11
B12,GND,GND,GND,,B,2,12
B13,IO_L11N_0,0,I/O,TRUE,B,2,13
B14,VCCO_0,0,VCCO,,B,2,14
B15,IO_L10N_0,0,I/O,TRUE,B,2,15
B16,GND,GND,GND,,B,2,16
B17,IO_L03P_0,0,I/O,TRUE,B,2,17
B18,VCCO_0,0,VCCO,,B,2,18
B19,IO_L02N_0,0,I/O,TRUE,B,2,19
B20,IO_L07P_0,0,I/O,TRUE,B,2,20
B21,VCCAUX,VCCAUX,VCCAUX,,B,2,21
B22,TDO,VCCAUX,JTAG,,B,2,22
C1,IO_L02N_3,3,I/O,TRUE,C,3,1
C2,IO_L02P_3,3,I/O,TRUE,C,3,2
C3,GND,GND,GND,,C,3,3
C4,IO_L29N_0,0,I/O,TRUE,C,3,4
C5,IP_0,0,INPUT,,C,3,5
C6,IO_L21P_0,0,I/O,TRUE,C,3,6
C7,IO_L26P_0,0,I/O,TRUE,C,3,7
C8,IO_L22P_0,0,I/O,TRUE,C,3,8
C9,IO_L16P_0,0,I/O,TRUE,C,3,9
C10,IP_0,0,INPUT,,C,3,10
C11,IP_0/VREF_0,0,VREF,,C,3,11
C12,IO_L14N_0,0,I/O,TRUE,C,3,12
C13,IO_L14P_0,0,I/O,TRUE,C,3,13
C14,IP_0,0,INPUT,,C,3,14
C15,IO_L12N_0/VREF_0,0,VREF,TRUE,C,3,15
C16,IO_L08N_0,0,I/O,TRUE,C,3,16
C17,IO_L03N_0,0,I/O,TRUE,C,3,17
C18,IO_L02P_0/VREF_0,0,VREF,TRUE,C,3,18
C19,IO_L01N_0,0,I/O,TRUE,C,3,19
C20,GND,GND,GND,,C,3,20
C21,IP_L39N_1,1,INPUT,TRUE,C,3,21
C22,IP_L39P_1/VREF_1,1,VREF,TRUE,C,3,22
D1,IP_L04P_3,3,INPUT,TRUE,D,4,1
D2,TDI,VCCAUX,JTAG,,D,4,2
D3,IP_L08P_3,3,INPUT,TRUE,D,4,3
D4,IP_L08N_3,3,INPUT,TRUE,D,4,4
D5,IO_L29P_0,0,I/O,TRUE,D,4,5
D6,IO_L21N_0,0,I/O,TRUE,D,4,6
D7,IO_L26N_0,0,I/O,TRUE,D,4,7
D8,GND,GND,GND,,D,4,8
D9,IO_L22N_0,0,I/O,TRUE,D,4,9
D10,IO_L16N_0,0,I/O,TRUE,D,4,10
D11,GND,GND,GND,,D,4,11
D12,VCCAUX,VCCAUX,VCCAUX,,D,4,12
D13,IO_L09N_0,0,I/O,TRUE,D,4,13
D14,IO_L12P_0,0,I/O,TRUE,D,4,14
D15,IO_L08P_0,0,I/O,TRUE,D,4,15
D16,GND,GND,GND,,D,4,16
D17,IP_0,0,INPUT,,D,4,17
D18,IP_0,0,INPUT,,D,4,18
D19,IO_L01P_0,0,I/O,TRUE,D,4,19
D20,IO_L36P_1/A20,1,DUAL,TRUE,D,4,20
D21,IO_L37P_1/A22,1,DUAL,TRUE,D,4,21
D22,IO_L37N_1/A23,1,DUAL,TRUE,D,4,22
E1,IP_L04N_3/VREF_3,3,VREF,TRUE,E,5,1
E2,VCCO_3,3,VCCO,,E,5,2
E3,IO_L09P_3,3,I/O,TRUE,E,5,3
E4,IO_L09N_3,3,I/O,TRUE,E,5,4
E5,VCCAUX,VCCAUX,VCCAUX,,E,5,5
E6,IP_0,0,INPUT,,E,5,6
E7,IO_L31P_0/VREF_0,0,VREF,TRUE,E,5,7
E8,IO_L27N_0,0,I/O,TRUE,E,5,8
E9,VCCO_0,0,VCCO,,E,5,9
E10,IP_0,0,INPUT,,E,5,10
E11,IO_L19N_0/GCLK9,0,GCLK,TRUE,E,5,11
E12,IO_L17P_0/GCLK4,0,GCLK,TRUE,E,5,12
E13,IO_L09P_0,0,I/O,TRUE,E,5,13
E14,VCCO_0,0,VCCO,,E,5,14
E15,IO_L05P_0,0,I/O,TRUE,E,5,15
E16,IO_L04P_0,0,I/O,TRUE,E,5,16
E17,IP_0,0,INPUT,,E,5,17
E18,VCCAUX,VCCAUX,VCCAUX,,E,5,18
E19,IO_L36N_1/A21,1,DUAL,TRUE,E,5,19
E20,IO_L35N_1,1,I/O,TRUE,E,5,20
E21,VCCO_1,1,VCCO,,E,5,21
E22,IO_L33N_1,1,I/O,TRUE,E,5,22
F1,IO_L06N_3,3,I/O,TRUE,F,6,1
F2,IO_L06P_3,3,I/O,TRUE,F,6,2
F3,IO_L01P_3,3,I/O,TRUE,F,6,3
F4,IO_L03P_3,3,I/O,TRUE,F,6,4
F5,IO_L03N_3,3,I/O,TRUE,F,6,5
F6,GND,GND,GND,,F,6,6
F7,IO_L31N_0/PUDC_B,0,DUAL,TRUE,F,6,7
F8,IO_L27P_0,0,I/O,TRUE,F,6,8
F9,IO_L23N_0,0,I/O,TRUE,F,6,9
F10,IO_L19P_0/GCLK8,0,GCLK,TRUE,F,6,10
F11,IO_L17N_0/GCLK5,0,GCLK,TRUE,F,6,11
F12,IP_0,0,INPUT,,F,6,12
F13,IO_L13N_0,0,I/O,TRUE,F,6,13
F14,IO_L13P_0,0,I/O,TRUE,F,6,14
F15,IO_L05N_0,0,I/O,TRUE,F,6,15
F16,IO_L04N_0,0,I/O,TRUE,F,6,16
F17,GND,GND,GND,,F,6,17
F18,IO_L38N_1/A25,1,DUAL,TRUE,F,6,18
F19,IO_L38P_1/A24,1,DUAL,TRUE,F,6,19
F20,IO_L30N_1/A19,1,DUAL,TRUE,F,6,20
F21,IO_L35P_1,1,I/O,TRUE,F,6,21
F22,IO_L33P_1,1,I/O,TRUE,F,6,22
G1,IO_L11P_3,3,I/O,TRUE,G,7,1
G2,GND,GND,GND,,G,7,2
G3,IO_L01N_3,3,I/O,TRUE,G,7,3
G4,GND,GND,GND,,G,7,4
G5,IO_L07P_3,3,I/O,TRUE,G,7,5
G6,IO_L07N_3,3,I/O,TRUE,G,7,6
G7,VCCINT,VCCINT,VCCINT,,G,7,7
G8,IO_L23P_0,0,I/O,TRUE,G,7,8
G9,GND,GND,GND,,G,7,9
G10,VCCAUX,VCCAUX,VCCAUX,,G,7,10
G11,GND,GND,GND,,G,7,11
G12,VCCAUX,VCCAUX,VCCAUX,,G,7,12
G13,GND,GND,GND,,G,7,13
G14,VCCAUX,VCCAUX,VCCAUX,,G,7,14
G15,GND,GND,GND,,G,7,15
G16,VCCINT,VCCINT,VCCINT,,G,7,16
G17,IO_L34P_1,1,I/O,TRUE,G,7,17
G18,IO_L34N_1,1,I/O,TRUE,G,7,18
G19,IO_L30P_1/A18,1,DUAL,TRUE,G,7,19
G20,IP_L31N_1,1,INPUT,TRUE,G,7,20
G21,GND,GND,GND,,G,7,21
G22,IO_L28N_1,1,I/O,TRUE,G,7,22
H1,IO_L11N_3,3,I/O,TRUE,H,8,1
H2,IO_L14P_3,3,I/O,TRUE,H,8,2
H3,IO_L05P_3,3,I/O,TRUE,H,8,3
H4,IO_L05N_3,3,I/O,TRUE,H,8,4
H5,IO_L10P_3,3,I/O,TRUE,H,8,5
H6,IO_L10N_3,3,I/O,TRUE,H,8,6
H7,GND,GND,GND,,H,8,7
H8,GND,GND,GND,,H,8,8
H9,VCCINT,VCCINT,VCCINT,,H,8,9
H10,GND,GND,GND,,H,8,10
H11,VCCINT,VCCINT,VCCINT,,H,8,11
H12,GND,GND,GND,,H,8,12
H13,VCCINT,VCCINT,VCCINT,,H,8,13
H14,GND,GND,GND,,H,8,14
H15,VCCINT,VCCINT,VCCINT,,H,8,15
H16,GND,GND,GND,,H,8,16
H17,IO_L26P_1/A14,1,DUAL,TRUE,H,8,17
H18,IO_L26N_1/A15,1,DUAL,TRUE,H,8,18
H19,GND,GND,GND,,H,8,19
H20,IO_L32N_1,1,I/O,TRUE,H,8,20
H21,IP_L31P_1/VREF_1,1,VREF,TRUE,H,8,21
H22,IO_L28P_1,1,I/O,TRUE,H,8,22
J1,IO_L14N_3/VREF_3,3,VREF,TRUE,J,9,1
J2,VCCO_3,3,VCCO,,J,9,2
J3,IP_L16P_3,3,INPUT,TRUE,J,9,3
J4,IP_L16N_3,3,INPUT,TRUE,J,9,4
J5,VCCO_3,3,VCCO,,J,9,5
J6,IP_L12P_3,3,INPUT,TRUE,J,9,6
J7,IP_L12N_3/VREF_3,3,VREF,TRUE,J,9,7
J8,VCCINT,VCCINT,VCCINT,,J,9,8
J9,GND,GND,GND,,J,9,9
J10,VCCINT,VCCINT,VCCINT,,J,9,10
J11,GND,GND,GND,,J,9,11
J12,VCCINT,VCCINT,VCCINT,,J,9,12
J13,GND,GND,GND,,J,9,13
