SORT_ROW,SORT_COLUMN,PIN_NUMBER,XC3S400,XC3S400_TYPE,XC3S1000,XC3S1000_TYPE,XC3S1500,XC3S1500_TYPE,BANK
A,1,A1,GND,GND,GND,GND,GND,GND,N/A
A,2,A2,IO_L01N_0/VRP_0,DCI,IO_L01N_0/VRP_0,DCI,IO_L01N_0/VRP_0,DCI,0
A,3,A3,IO_L01P_0/VRN_0,DCI,IO_L01P_0/VRN_0,DCI,IO_L01P_0/VRN_0,DCI,0
A,4,A4,IO_L15N_0,I/O,IO_L15N_0,I/O,IO_L15N_0,I/O,0
A,5,A5,IO_L15P_0,I/O,IO_L15P_0,I/O,IO_L15P_0,I/O,0
A,6,A6,GND,GND,GND,GND,GND,GND,N/A
A,7,A7,IO_L30N_0,I/O,IO_L30N_0,I/O,IO_L30N_0,I/O,0
A,8,A8,IO_L30P_0,I/O,IO_L30P_0,I/O,IO_L30P_0,I/O,0
A,9,A9,IO_L31P_0/VREF_0,VREF,IO_L31P_0/VREF_0,VREF,IO_L31P_0/VREF_0,VREF,0
A,10,A10,IO_L31N_1/VREF_1,VREF,IO_L31N_1/VREF_1,VREF,IO_L31N_1/VREF_1,VREF,1
A,11,A11,IO,I/O,IO,I/O,IO,I/O,1
A,12,A12,IO/VREF_1,VREF,IO/VREF_1,VREF,IO/VREF_1,VREF,1
A,13,A13,GND,GND,GND,GND,GND,GND,N/A
A,14,A14,IO_L16N_1,I/O,IO_L16N_1,I/O,IO_L16N_1,I/O,1
A,15,A15,IO_L10N_1/VREF_1,VREF,IO_L10N_1/VREF_1,VREF,IO_L10N_1/VREF_1,VREF,1
A,16,A16,IO_L01N_1/VRP_1,DCI,IO_L01N_1/VRP_1,DCI,IO_L01N_1/VRP_1,DCI,1
A,17,A17,IO_L01P_1/VRN_1,DCI,IO_L01P_1/VRN_1,DCI,IO_L01P_1/VRN_1,DCI,1
A,18,A18,GND,GND,GND,GND,GND,GND,N/A
B,1,B1,IO_L16P_7/VREF_7,VREF,IO_L16P_7/VREF_7,VREF,IO_L16P_7/VREF_7,VREF,7
B,2,B2,GND,GND,GND,GND,GND,GND,N/A
B,3,B3,IO/VREF_0,VREF,IO/VREF_0,VREF,IO/VREF_0,VREF,0
B,4,B4,IO_L09N_0,I/O,IO_L09N_0,I/O,IO_L09N_0,I/O,0
B,5,B5,IO_L25N_0,I/O,IO_L25N_0,I/O,IO_L25N_0,I/O,0
B,6,B6,IO_L25P_0,I/O,IO_L25P_0,I/O,IO_L25P_0,I/O,0
B,7,B7,VCCAUX,VCCAUX,VCCAUX,VCCAUX,VCCAUX,VCCAUX,N/A
B,8,B8,VCCO_0,VCCO,VCCO_0,VCCO,VCCO_0,VCCO,0
B,9,B9,IO_L31N_0,I/O,IO_L31N_0,I/O,IO_L31N_0,I/O,0
B,10,B10,IO_L31P_1,I/O,IO_L31P_1,I/O,IO_L31P_1,I/O,1
B,11,B11,VCCO_1,VCCO,VCCO_1,VCCO,VCCO_1,VCCO,1
B,12,B12,VCCAUX,VCCAUX,VCCAUX,VCCAUX,VCCAUX,VCCAUX,N/A
B,13,B13,IO,I/O,IO,I/O,IO,I/O,1
B,14,B14,IO_L16P_1,I/O,IO_L16P_1,I/O,IO_L16P_1,I/O,1
B,15,B15,IO_L10P_1,I/O,IO_L10P_1,I/O,IO_L10P_1,I/O,1
B,16,B16,TMS,JTAG,TMS,JTAG,TMS,JTAG,VCCAUX
B,17,B17,GND,GND,GND,GND,GND,GND,N/A
B,18,B18,IO_L16N_2,I/O,IO_L16N_2,I/O,IO_L16N_2,I/O,2
C,1,C1,IO_L16N_7,I/O,IO_L16N_7,I/O,IO_L16N_7,I/O,7
C,2,C2,IO_L01P_7/VRN_7,DCI,IO_L01P_7/VRN_7,DCI,IO_L01P_7/VRN_7,DCI,7
C,3,C3,IO_L01N_7/VRP_7,DCI,IO_L01N_7/VRP_7,DCI,IO_L01N_7/VRP_7,DCI,7
C,4,C4,IO_L09P_0,I/O,IO_L09P_0,I/O,IO_L09P_0,I/O,0
C,5,C5,IO_L10N_0,I/O,IO_L10N_0,I/O,IO_L10N_0,I/O,0
C,6,C6,VCCO_0,VCCO,VCCO_0,VCCO,VCCO_0,VCCO,0
C,7,C7,IO_L27N_0,I/O,IO_L27N_0,I/O,IO_L27N_0,I/O,0
C,8,C8,IO_L28N_0,I/O,IO_L28N_0,I/O,IO_L28N_0,I/O,0
C,9,C9,GND,GND,GND,GND,GND,GND,N/A
C,10,C10,GND,GND,GND,GND,GND,GND,N/A
C,11,C11,IO_L30N_1,I/O,IO_L30N_1,I/O,IO_L30N_1,I/O,1
C,12,C12,IO_L28N_1,I/O,IO_L28N_1,I/O,IO_L28N_1,I/O,1
C,13,C13,VCCO_1,VCCO,VCCO_1,VCCO,VCCO_1,VCCO,1
C,14,C14,IO_L15N_1,I/O,IO_L15N_1,I/O,IO_L15N_1,I/O,1
C,15,C15,IO_L15P_1,I/O,IO_L15P_1,I/O,IO_L15P_1,I/O,1
C,16,C16,IO_L01N_2/VRP_2,DCI,IO_L01N_2/VRP_2,DCI,IO_L01N_2/VRP_2,DCI,2
C,17,C17,IO_L01P_2/VRN_2,DCI,IO_L01P_2/VRN_2,DCI,IO_L01P_2/VRN_2,DCI,2
C,18,C18,IO_L16P_2,I/O,IO_L16P_2,I/O,IO_L16P_2,I/O,2
D,1,D1,IO_L17N_7,I/O,IO_L17N_7,I/O,IO_L17N_7,I/O,7
D,2,D2,IO_L17P_7,I/O,IO_L17P_7,I/O,IO_L17P_7,I/O,7
D,3,D3,IO_L19P_7,I/O,IO_L19P_7,I/O,IO_L19P_7,I/O,7
D,4,D4,TDI,JTAG,TDI,JTAG,TDI,JTAG,VCCAUX
D,5,D5,IO_L10P_0,I/O,IO_L10P_0,I/O,IO_L10P_0,I/O,0
D,6,D6,IO/VREF_0,VREF,IO/VREF_0,VREF,IO/VREF_0,VREF,0
D,7,D7,IO_L27P_0,I/O,IO_L27P_0,I/O,IO_L27P_0,I/O,0
D,8,D8,IO_L28P_0,I/O,IO_L28P_0,I/O,IO_L28P_0,I/O,0
D,9,D9,IO,I/O,IO,I/O,IO,I/O,0
D,10,D10,IO,I/O,IO,I/O,IO,I/O,1
D,11,D11,IO_L30P_1,I/O,IO_L30P_1,I/O,IO_L30P_1,I/O,1
D,12,D12,IO_L28P_1,I/O,IO_L28P_1,I/O,IO_L28P_1,I/O,1
D,13,D13,IO_L24P_1,I/O,IO_L24P_1,I/O,IO_L24P_1,I/O,1
D,14,D14,IO_L24N_1,I/O,IO_L24N_1,I/O,IO_L24N_1,I/O,1
D,15,D15,TDO,JTAG,TDO,JTAG,TDO,JTAG,VCCAUX
D,16,D16,IO_L19N_2,I/O,IO_L19N_2,I/O,IO_L19N_2,I/O,2
D,17,D17,IO_L17N_2,I/O,IO_L17N_2,I/O,IO_L17N_2,I/O,2
D,18,D18,IO_L17P_2/VREF_2,VREF,IO_L17P_2/VREF_2,VREF,IO_L17P_2/VREF_2,VREF,2
E,1,E1,IO_L20P_7,I/O,IO_L20P_7,I/O,IO_L20P_7,I/O,7
E,2,E2,IO_L20N_7,I/O,IO_L20N_7,I/O,IO_L20N_7,I/O,7
E,3,E3,IO_L19N_7/VREF_7,VREF,IO_L19N_7/VREF_7,VREF,IO_L19N_7/VREF_7,VREF,7
E,4,E4,IO_L21N_7,I/O,IO_L21N_7,I/O,IO_L21N_7,I/O,7
E,5,E5,PROG_B,CONFIG,PROG_B,CONFIG,PROG_B,CONFIG,VCCAUX
E,6,E6,HSWAP_EN,CONFIG,HSWAP_EN,CONFIG,HSWAP_EN,CONFIG,VCCAUX
E,7,E7,IO,I/O,IO,I/O,IO,I/O,0
E,8,E8,IO_L29N_0,I/O,IO_L29N_0,I/O,IO_L29N_0,I/O,0
E,9,E9,IO_L32N_0/GCLK7,GCLK,IO_L32N_0/GCLK7,GCLK,IO_L32N_0/GCLK7,GCLK,0
E,10,E10,IO_L32N_1/GCLK5,GCLK,IO_L32N_1/GCLK5,GCLK,IO_L32N_1/GCLK5,GCLK,1
E,11,E11,IO_L29P_1,I/O,IO_L29P_1,I/O,IO_L29P_1,I/O,1
E,12,E12,IO_L27P_1,I/O,IO_L27P_1,I/O,IO_L27P_1,I/O,1
E,13,E13,IO_L27N_1,I/O,IO_L27N_1,I/O,IO_L27N_1,I/O,1
E,14,E14,TCK,JTAG,TCK,JTAG,TCK,JTAG,VCCAUX
E,15,E15,IO_L21P_2,I/O,IO_L21P_2,I/O,IO_L21P_2,I/O,2
E,16,E16,IO_L19P_2,I/O,IO_L19P_2,I/O,IO_L19P_2,I/O,2
E,17,E17,IO_L20N_2,I/O,IO_L20N_2,I/O,IO_L20N_2,I/O,2
E,18,E18,IO_L20P_2,I/O,IO_L20P_2,I/O,IO_L20P_2,I/O,2
F,1,F1,GND,GND,GND,GND,GND,GND,N/A
F,2,F2,IO_L23P_7,I/O,IO_L23P_7,I/O,IO_L23P_7,I/O,7
F,3,F3,VCCO_7,VCCO,VCCO_7,VCCO,VCCO_7,VCCO,7
F,4,F4,IO_L21P_7,I/O,IO_L21P_7,I/O,IO_L21P_7,I/O,7
F,5,F5,IO_L22P_7,I/O,IO_L22P_7,I/O,IO_L22P_7,I/O,7
F,6,F6,VCCINT,VCCINT,VCCINT,VCCINT,VCCINT,VCCINT,N/A
F,7,F7,VCCINT,VCCINT,VCCINT,VCCINT,VCCINT,VCCINT,N/A
F,8,F8,IO_L29P_0,I/O,IO_L29P_0,I/O,IO_L29P_0,I/O,0
F,9,F9,IO_L32P_0/GCLK6,GCLK,IO_L32P_0/GCLK6,GCLK,IO_L32P_0/GCLK6,GCLK,0
F,10,F10,IO_L32P_1/GCLK4,GCLK,IO_L32P_1/GCLK4,GCLK,IO_L32P_1/GCLK4,GCLK,1
F,11,F11,IO_L29N_1,I/O,IO_L29N_1,I/O,IO_L29N_1,I/O,1
F,12,F12,VCCINT,VCCINT,VCCINT,VCCINT,VCCINT,VCCINT,N/A
F,13,F13,VCCINT,VCCINT,VCCINT,VCCINT,VCCINT,VCCINT,N/A
F,14,F14,IO_L22N_2,I/O,IO_L22N_2,I/O,IO_L22N_2,I/O,2
F,15,F15,IO_L21N_2,I/O,IO_L21N_2,I/O,IO_L21N_2,I/O,2
