SORT_ROW,SORT_ROW_#,SORT_COLUMN,PIN_NUMBER,XC3S400,XC3S400_TYPE,XC3S1000,XC3S1000_TYPE,XC3S1500,XC3S1500_TYPE,XC3S2000,XC3S2000_TYPE,BANK
A,1,1,A1,GND,GND,GND,GND,GND,GND,GND,GND,N/A
A,1,2,A2,PROG_B,CONFIG,PROG_B,CONFIG,PROG_B,CONFIG,PROG_B,CONFIG,VCCAUX
A,1,3,A3,IO/VREF_0,VREF,IO/VREF_0,VREF,IO/VREF_0,VREF,IO/VREF_0,VREF,0
A,1,4,A4,IO_L01P_0/VRN_0,DCI,IO_L01P_0/VRN_0,DCI,IO_L01P_0/VRN_0,DCI,IO_L01P_0/VRN_0,DCI,0
A,1,5,A5,IO_L09P_0,I/O,IO_L09P_0,I/O,IO_L09P_0,I/O,IO_L09P_0,I/O,0
A,1,6,A6,VCCAUX,VCCAUX,VCCAUX,VCCAUX,VCCAUX,VCCAUX,VCCAUX,VCCAUX,N/A
A,1,7,A7,N.C.,N.C.,IO_L19P_0,I/O,IO_L19P_0,I/O,IO_L19P_0,I/O,0
A,1,8,A8,IO_L24P_0,I/O,IO_L24P_0,I/O,IO_L24P_0,I/O,IO_L24P_0,I/O,0
A,1,9,A9,IO_L27P_0,I/O,IO_L27P_0,I/O,IO_L27P_0,I/O,IO_L27P_0,I/O,0
A,1,10,A10,IO,I/O,IO,I/O,IO,I/O,IO,I/O,0
A,1,11,A11,IO_L32P_0/GCLK6,GCLK,IO_L32P_0/GCLK6,GCLK,IO_L32P_0/GCLK6,GCLK,IO_L32P_0/GCLK6,GCLK,0
A,1,12,A12,IO,I/O,IO,I/O,IO,I/O,IO,I/O,1
A,1,13,A13,IO_L30N_1,I/O,IO_L30N_1,I/O,IO_L30N_1,I/O,IO_L30N_1,I/O,1
A,1,14,A14,IO_L28N_1,I/O,IO_L28N_1,I/O,IO_L28N_1,I/O,IO_L28N_1,I/O,1
A,1,15,A15,IO_L25P_1,I/O,IO_L25P_1,I/O,IO_L25P_1,I/O,IO_L25P_1,I/O,1
A,1,16,A16,N.C.,N.C.,IO_L22N_1,I/O,IO_L22N_1,I/O,IO_L22N_1,I/O,1
A,1,17,A17,VCCAUX,VCCAUX,VCCAUX,VCCAUX,VCCAUX,VCCAUX,VCCAUX,VCCAUX,N/A
A,1,18,A18,IO_L10N_1/VREF_1,VREF,IO_L10N_1/VREF_1,VREF,IO_L10N_1/VREF_1,VREF,IO_L10N_1/VREF_1,VREF,1
A,1,19,A19,IO_L06N_1/VREF_1,VREF,IO_L06N_1/VREF_1,VREF,IO_L06N_1/VREF_1,VREF,IO_L06N_1/VREF_1,VREF,1
A,1,20,A20,TMS,JTAG,TMS,JTAG,TMS,JTAG,TMS,JTAG,VCCAUX
A,1,21,A21,TCK,JTAG,TCK,JTAG,TCK,JTAG,TCK,JTAG,VCCAUX
A,1,22,A22,GND,GND,GND,GND,GND,GND,GND,GND,N/A
B,2,1,B1,TDI,JTAG,TDI,JTAG,TDI,JTAG,TDI,JTAG,VCCAUX
B,2,2,B2,GND,GND,GND,GND,GND,GND,GND,GND,N/A
B,2,3,B3,HSWAP_EN,CONFIG,HSWAP_EN,CONFIG,HSWAP_EN,CONFIG,HSWAP_EN,CONFIG,VCCAUX
B,2,4,B4,IO_L01N_0/VRP_0,DCI,IO_L01N_0/VRP_0,DCI,IO_L01N_0/VRP_0,DCI,IO_L01N_0/VRP_0,DCI,0
B,2,5,B5,IO_L09N_0,I/O,IO_L09N_0,I/O,IO_L09N_0,I/O,IO_L09N_0,I/O,0
B,2,6,B6,IO_L15P_0,I/O,IO_L15P_0,I/O,IO_L15P_0,I/O,IO_L15P_0,I/O,0
B,2,7,B7,N.C.,N.C.,IO_L19N_0,I/O,IO_L19N_0,I/O,IO_L19N_0,I/O,0
B,2,8,B8,IO_L24N_0,I/O,IO_L24N_0,I/O,IO_L24N_0,I/O,IO_L24N_0,I/O,0
B,2,9,B9,IO_L27N_0,I/O,IO_L27N_0,I/O,IO_L27N_0,I/O,IO_L27N_0,I/O,0
B,2,10,B10,IO_L29P_0,I/O,IO_L29P_0,I/O,IO_L29P_0,I/O,IO_L29P_0,I/O,0
B,2,11,B11,IO_L32N_0/GCLK7,GCLK,IO_L32N_0/GCLK7,GCLK,IO_L32N_0/GCLK7,GCLK,IO_L32N_0/GCLK7,GCLK,0
B,2,12,B12,IO_L32N_1/GCLK5,GCLK,IO_L32N_1/GCLK5,GCLK,IO_L32N_1/GCLK5,GCLK,IO_L32N_1/GCLK5,GCLK,1
B,2,13,B13,IO_L30P_1,I/O,IO_L30P_1,I/O,IO_L30P_1,I/O,IO_L30P_1,I/O,1
B,2,14,B14,IO_L28P_1,I/O,IO_L28P_1,I/O,IO_L28P_1,I/O,IO_L28P_1,I/O,1
B,2,15,B15,IO_L25N_1,I/O,IO_L25N_1,I/O,IO_L25N_1,I/O,IO_L25N_1,I/O,1
B,2,16,B16,N.C.,N.C.,IO_L22P_1,I/O,IO_L22P_1,I/O,IO_L22P_1,I/O,1
B,2,17,B17,IO_L16N_1,I/O,IO_L16N_1,I/O,IO_L16N_1,I/O,IO_L16N_1,I/O,1
B,2,18,B18,IO_L10P_1,I/O,IO_L10P_1,I/O,IO_L10P_1,I/O,IO_L10P_1,I/O,1
B,2,19,B19,IO_L06P_1,I/O,IO_L06P_1,I/O,IO_L06P_1,I/O,IO_L06P_1,I/O,1
B,2,20,B20,IO_L01P_1/VRN_1,DCI,IO_L01P_1/VRN_1,DCI,IO_L01P_1/VRN_1,DCI,IO_L01P_1/VRN_1,DCI,1
B,2,21,B21,GND,GND,GND,GND,GND,GND,GND,GND,N/A
B,2,22,B22,TDO,JTAG,TDO,JTAG,TDO,JTAG,TDO,JTAG,VCCAUX
